wall_iso,epoch,feed,header_ts,wire_bytes,status
2026-08-05T11:57:03,1785949023.2,trips,1785948987,222110,200
2026-08-05T11:57:03,1785949023.5,vehicles,1785948987,13232,200
2026-08-05T11:57:03,1785949023.8,alerts,1785948951,25853,200
2026-08-05T11:57:13,1785949033.2,trips,1785949011,219930,200
2026-08-05T11:57:13,1785949033.5,vehicles,1785949011,13226,200
2026-08-05T11:57:13,1785949033.7,alerts,1785949011,25853,200
2026-08-05T11:57:23,1785949043.2,trips,1785949011,219930,200
2026-08-05T11:57:23,1785949043.5,vehicles,1785949011,13226,200
2026-08-05T11:57:23,1785949043.8,alerts,1785949011,25853,200
2026-08-05T11:57:33,1785949053.2,trips,1785949011,219930,200
2026-08-05T11:57:33,1785949053.5,vehicles,1785949011,13226,200
2026-08-05T11:57:33,1785949053.8,alerts,1785949011,25853,200
2026-08-05T11:57:43,1785949063.2,trips,1785949053,217309,200
2026-08-05T11:57:43,1785949063.5,vehicles,1785949053,13380,200
2026-08-05T11:57:43,1785949063.8,alerts,1785949011,25853,200
2026-08-05T11:57:53,1785949073.2,trips,1785949053,217309,200
2026-08-05T11:57:53,1785949073.5,vehicles,1785949053,13380,200
2026-08-05T11:57:53,1785949073.7,alerts,1785949011,25853,200
2026-08-05T11:58:03,1785949083.2,trips,1785949053,217309,200
2026-08-05T11:58:03,1785949083.7,vehicles,1785949053,13380,200
2026-08-05T11:58:03,1785949083.9,alerts,1785949011,25853,200
2026-08-05T11:58:13,1785949093.2,trips,1785949074,218265,200
2026-08-05T11:58:13,1785949093.6,vehicles,1785949074,13578,200
2026-08-05T11:58:13,1785949093.8,alerts,1785949071,25853,200
2026-08-05T11:58:23,1785949103.2,trips,1785949074,218265,200
2026-08-05T11:58:23,1785949103.5,vehicles,1785949074,13578,200
2026-08-05T11:58:23,1785949103.8,alerts,1785949071,25853,200
2026-08-05T11:58:33,1785949113.2,trips,1785949074,218265,200
2026-08-05T11:58:33,1785949113.5,vehicles,1785949074,13578,200
2026-08-05T11:58:33,1785949113.8,alerts,1785949071,25853,200
2026-08-05T11:58:43,1785949123.2,trips,1785949117,217375,200
2026-08-05T11:58:43,1785949123.5,vehicles,1785949117,13488,200
2026-08-05T11:58:43,1785949123.8,alerts,1785949071,25853,200
2026-08-05T11:58:53,1785949133.2,trips,1785949117,217375,200
2026-08-05T11:58:53,1785949133.5,vehicles,1785949117,13488,200
2026-08-05T11:58:53,1785949133.8,alerts,1785949071,25853,200
2026-08-05T11:59:03,1785949143.2,trips,1785949117,217375,200
2026-08-05T11:59:03,1785949143.5,vehicles,1785949117,13488,200
2026-08-05T11:59:03,1785949143.8,alerts,1785949071,25853,200
2026-08-05T11:59:13,1785949153.2,trips,1785949117,217375,200
2026-08-05T11:59:13,1785949153.5,vehicles,1785949117,13488,200
2026-08-05T11:59:13,1785949153.8,alerts,1785949071,25853,200
2026-08-05T11:59:23,1785949163.2,trips,1785949138,226550,200
2026-08-05T11:59:23,1785949163.5,vehicles,1785949138,13588,200
2026-08-05T11:59:23,1785949163.8,alerts,1785949131,25853,200
2026-08-05T11:59:33,1785949173.2,trips,1785949138,226550,200
2026-08-05T11:59:33,1785949173.5,vehicles,1785949138,13588,200
2026-08-05T11:59:33,1785949173.8,alerts,1785949131,25853,200
2026-08-05T11:59:43,1785949183.2,trips,1785949138,226550,200
2026-08-05T11:59:43,1785949183.6,vehicles,1785949138,13588,200
2026-08-05T11:59:43,1785949183.8,alerts,1785949131,25853,200
2026-08-05T11:59:53,1785949193.2,trips,1785949180,225562,200
2026-08-05T11:59:53,1785949193.5,vehicles,1785949180,13678,200
2026-08-05T11:59:53,1785949193.7,alerts,1785949131,25853,200
2026-08-05T12:00:03,1785949203.2,trips,1785949180,225562,200
2026-08-05T12:00:03,1785949203.6,vehicles,1785949180,13678,200
2026-08-05T12:00:03,1785949203.8,alerts,1785949131,25853,200
2026-08-05T12:00:13,1785949213.2,trips,1785949180,225562,200
2026-08-05T12:00:13,1785949213.5,vehicles,1785949180,13678,200
2026-08-05T12:00:13,1785949213.8,alerts,1785949131,25853,200
2026-08-05T12:00:23,1785949223.2,trips,1785949202,222116,200
2026-08-05T12:00:23,1785949223.5,vehicles,1785949202,13588,200
2026-08-05T12:00:23,1785949223.7,alerts,1785949192,25853,200
2026-08-05T12:00:33,1785949233.2,trips,1785949202,222116,200
2026-08-05T12:00:33,1785949233.5,vehicles,1785949202,13588,200
2026-08-05T12:00:33,1785949233.7,alerts,1785949192,25853,200
2026-08-05T12:00:43,1785949243.2,trips,1785949202,222116,200
2026-08-05T12:00:43,1785949243.5,vehicles,1785949202,13588,200
2026-08-05T12:00:43,1785949243.8,alerts,1785949192,25853,200
2026-08-05T12:00:53,1785949253.2,trips,1785949202,222116,200
2026-08-05T12:00:53,1785949253.5,vehicles,1785949202,13588,200
2026-08-05T12:00:53,1785949253.7,alerts,1785949192,25853,200
2026-08-05T12:01:03,1785949263.2,trips,1785949244,221641,200
2026-08-05T12:01:03,1785949263.5,vehicles,1785949244,13396,200
2026-08-05T12:01:03,1785949263.8,alerts,1785949252,25853,200
2026-08-05T12:01:13,1785949273.2,trips,1785949244,221641,200
2026-08-05T12:01:13,1785949273.8,vehicles,1785949244,13396,200
2026-08-05T12:01:14,1785949274.0,alerts,1785949252,25853,200
2026-08-05T12:01:23,1785949283.2,trips,1785949244,221641,200
2026-08-05T12:01:23,1785949283.5,vehicles,1785949244,13396,200
2026-08-05T12:01:23,1785949283.8,alerts,1785949252,25853,200
2026-08-05T12:01:33,1785949293.2,trips,1785949265,224827,200
2026-08-05T12:01:33,1785949293.5,vehicles,1785949287,13399,200
2026-08-05T12:01:33,1785949293.8,alerts,1785949252,25853,200
2026-08-05T12:01:43,1785949303.2,trips,1785949265,224827,200
2026-08-05T12:01:43,1785949303.5,vehicles,1785949287,13399,200
2026-08-05T12:01:43,1785949303.8,alerts,1785949252,25853,200
2026-08-05T12:01:53,1785949313.2,trips,1785949265,224827,200
2026-08-05T12:01:53,1785949313.6,vehicles,1785949287,13399,200
2026-08-05T12:01:53,1785949313.8,alerts,1785949252,25853,200
2026-08-05T12:02:03,1785949323.2,trips,1785949313,226356,200
2026-08-05T12:02:03,1785949323.5,vehicles,1785949313,13483,200
2026-08-05T12:02:03,1785949323.8,alerts,1785949312,25853,200
2026-08-05T12:02:13,1785949333.2,trips,1785949313,226356,200
2026-08-05T12:02:13,1785949333.5,vehicles,1785949313,13483,200
2026-08-05T12:02:13,1785949333.8,alerts,1785949312,25853,200
2026-08-05T12:02:23,1785949343.2,trips,1785949313,226356,200
2026-08-05T12:02:23,1785949343.5,vehicles,1785949313,13483,200
2026-08-05T12:02:23,1785949343.8,alerts,1785949312,25853,200
2026-08-05T12:02:33,1785949353.2,trips,1785949335,233254,200
2026-08-05T12:02:33,1785949353.5,vehicles,1785949335,13885,200
2026-08-05T12:02:33,1785949353.8,alerts,1785949312,25853,200
2026-08-05T12:02:43,1785949363.2,trips,1785949335,233254,200
2026-08-05T12:02:43,1785949363.5,vehicles,1785949335,13885,200
2026-08-05T12:02:43,1785949363.8,alerts,1785949312,25853,200
2026-08-05T12:02:53,1785949373.2,trips,1785949335,233254,200
2026-08-05T12:02:53,1785949373.5,vehicles,1785949335,13885,200
2026-08-05T12:02:53,1785949373.8,alerts,1785949312,25853,200
